笔记内容,情感倾向,置信度,负面概率,正面概率,笔记链接,关键词
听朋友说直美团停亲测效疯狂喷实行卸载重装,1,0.890772,0.494539,0.505461,https://www.xiaohongshu.com/explore/666f6dfb000000000d00f129,美团
家艾特美团真券膨胀惊呆数杀熟神券元贵平转饿美团数杀熟神券元元贵平转饿饿美团太差劲外卖美团员真太差劲饿真想美团卸想美团点外卖昨天饿开包年员晦气死美团美团员真太差劲饿真想美团卸想美团,0,0.999911,0.99996,4.01248e-05,https://www.xiaohongshu.com/explore/666cfdf3000000000d00c0ac,美团
美团鱼W乐cui超级厉害美团居委闹皆知两平台时拖花月算谈政策听催年金电话申请减免发意,0,0.949548,0.977297,0.0227031,https://www.xiaohongshu.com/explore/66727e2e000000001c02b25d,美团
点赞收藏慢慢主页美团点评运营干货分享,2,0.998206,0.000807087,0.999193,https://www.xiaohongshu.com/explore/667276ac000000001c035e07,美团
发现膨胀神券包秘密姐妹先美团外卖搜图店换位海点进选样东西结算页面付款买里显示膨胀金额退回买券包券包膨胀膨胀基店里口气膨胀十张,0,0.980875,0.991394,0.00860617,https://www.xiaohongshu.com/explore/667126d9000000000d00da0f,美团
终开开惹,2,0.872768,0.0572542,0.942746,https://www.xiaohongshu.com/explore/667181d8000000001c021f40,美团
直搞疯狂喷行卸载试试,0,0.0996347,0.594836,0.405164,https://www.xiaohongshu.com/explore/666fafd3000000000e030a7f,美团
美团黑号外卖侠续天购买低价员膨胀录屏,2,0.387522,0.275615,0.724385,https://www.xiaohongshu.com/explore/666d7f74000000001c036e3a,美团
两号十张完根完,2,0.715298,0.128116,0.871884,https://www.xiaohongshu.com/explore/666ad989000000000e0339b6,美团
点分爱东西信息,0,0.751856,0.888335,0.111665,https://www.xiaohongshu.com/explore/65b8ca67000000000a031d5e,美团
卸载美团,0,0.981222,0.99155,0.00845005,https://www.xiaohongshu.com/explore/666f9fcc000000001c023d4e,美团
睡醒觉开额太力怀疑美团精神状态时时坏,0,0.995913,0.998161,0.00183898,https://www.xiaohongshu.com/explore/66712340000000001d019b81,美团
新版员券真生气商家机机杀熟版点点,0,0.998833,0.999475,0.000524991,https://www.xiaohongshu.com/explore/666975f8000000001c0216a8,美团
天价券,0,0.945626,0.975532,0.0244682,https://www.xiaohongshu.com/explore/667069e7000000000d00cdfc,美团
价格喷喷天实直,2,0.790808,0.0941363,0.905864,https://www.xiaohongshu.com/explore/66712c83000000000600531f,美团
接通客服皮球部门部门美团业务真广接部门句傻子真垃拉拉拉机,0,0.999915,0.999962,3.84186e-05,https://www.xiaohongshu.com/explore/667133da000000001c02bdc7,美团
天杀美团数杀熟神券元贵美团数杀熟神券元元贵平转饿饿太差劲外卖饿真想美团卸想美团点外卖晦气死美团美,0,0.998574,0.999358,0.000641676,https://www.xiaohongshu.com/explore/6670889b000000001c028024,美团
终识嫖党美团食安法退款店全女性员工短头发想知差评醒醒嫖党现前商家差评送吃,0,0.999918,0.999963,3.6779e-05,https://www.xiaohongshu.com/explore/666fddaf0000000006004459,美团
美团员现红包天天神券商家前通红包开通时开特点商家参天天神券开属添堵月日选择开通点商家员券想点家发现券咨询美团客服说通红包架现天天神券语开通券应批通券偷偷天天神券说天天神券普员做做强占领市场,0,0.973904,0.988257,0.0117431,https://www.xiaohongshu.com/explore/666a80d5000000001c0202c8,美团
恩格系数高达学生讲点外卖总舍友宜命买官神券包官券包优点门槛费膨胀块块觉花门公众号点饭面浪费太时间凑度消费,0,0.870637,0.941787,0.0582135,https://www.xiaohongshu.com/explore/66693f83000000000d00d790,美团
美团现真贵杀熟户死点优惠券点店适留干饿拜拜,0,0.855421,0.93494,0.0650604,https://www.xiaohongshu.com/explore/6656f67b000000000500765c,美团
美团外卖美团杀熟神券元平转饿美团数杀熟神券元元贵平转饿太差劲美团员真太差劲饿真想美团卸想美团点外卖昨天饿开包年员晦气死美团美团员真太差劲饿真想美团卸,0,0.999866,0.99994,6.01684e-05,https://www.xiaohongshu.com/explore/664f3b27000000000c0194c9,美团
骂骂美团天价格真试试,0,0.984406,0.992983,0.00701719,https://www.xiaohongshu.com/explore/6635aa06000000001e0381fa,美团
美团领导pua怼回事说情商低想委屈工接受道理压榨pua说反驳长结节,0,0.74506,0.885277,0.114723,https://www.xiaohongshu.com/explore/6670f647000000001c02350d,美团
红薯学直疯狂喷停亲测效法,2,0.935061,0.0292226,0.970777,https://www.xiaohongshu.com/explore/65e5efb2000000000102a1e6,美团
杀熟免费卷花钱买膨胀块钱膨胀疯差太代劝紧膨胀块杀熟免费卷花钱买膨胀块钱膨胀疯差太代劝紧膨胀块,0,0.999434,0.999745,0.00025457,https://www.xiaohongshu.com/explore/6667fef00000000006005b69,美团
测试号显示段文字红包红包太开心🥳,2,0.87351,0.0569205,0.943079,https://www.xiaohongshu.com/explore/66684ee2000000001c029193,美团
关美团熟悉语言聚团火散天星,2,0.260222,0.3329,0.6671,https://www.xiaohongshu.com/explore/666307d10000000015010e1f,美团
美团优惠搞券越越贵膨胀越越低美团杀熟美团爱爱试试,0,0.836349,0.926357,0.0736431,https://www.xiaohongshu.com/explore/66508108000000001303ce35,美团
n,2,0.671279,0.147924,0.852076,https://www.xiaohongshu.com/explore/66700225000000000e03373f,美团
买神员红包付款时发现通红包天天神券商家专红包红书搜美团升级请问升级升级割韭菜技红包价格宜买喝奶茶时省包费外卖费现搞操作递美团信号古茗霸王茶姬萃茶师蜜雪冰城天天神券锁店品牌奶茶店美团干,0,0.474515,0.763532,0.236468,https://www.xiaohongshu.com/explore/666f389e000000000e031c5b,美团
