笔记内容,情感倾向,置信度,负面概率,正面概率,笔记链接,关键词
家艾特美团真券膨胀惊呆数杀熟神券元贵平转饿美团数杀熟神券元元贵平转饿饿美团太差劲外卖美团员真太差劲饿真想美团卸想美团点外卖昨天饿开包年员晦气死美团美团员真太差劲饿真想美团卸想美团,0,0.999911,0.99996,4.01248e-05,https://www.xiaohongshu.com/explore/666cfdf3000000000d00c0ac,美团
美团鱼W乐cui超级厉害美团居委闹皆知两平台时拖花月算谈政策听催年金电话申请减免发意,0,0.949548,0.977297,0.0227031,https://www.xiaohongshu.com/explore/66727e2e000000001c02b25d,美团
发现膨胀神券包秘密姐妹先美团外卖搜图店换位海点进选样东西结算页面付款买里显示膨胀金额退回买券包券包膨胀膨胀基店里口气膨胀十张,0,0.980875,0.991394,0.00860617,https://www.xiaohongshu.com/explore/667126d9000000000d00da0f,美团
直搞疯狂喷行卸载试试,0,0.0996347,0.594836,0.405164,https://www.xiaohongshu.com/explore/666fafd3000000000e030a7f,美团
点分爱东西信息,0,0.751856,0.888335,0.111665,https://www.xiaohongshu.com/explore/65b8ca67000000000a031d5e,美团
卸载美团,0,0.981222,0.99155,0.00845005,https://www.xiaohongshu.com/explore/666f9fcc000000001c023d4e,美团
睡醒觉开额太力怀疑美团精神状态时时坏,0,0.995913,0.998161,0.00183898,https://www.xiaohongshu.com/explore/66712340000000001d019b81,美团
新版员券真生气商家机机杀熟版点点,0,0.998833,0.999475,0.000524991,https://www.xiaohongshu.com/explore/666975f8000000001c0216a8,美团
天价券,0,0.945626,0.975532,0.0244682,https://www.xiaohongshu.com/explore/667069e7000000000d00cdfc,美团
接通客服皮球部门部门美团业务真广接部门句傻子真垃拉拉拉机,0,0.999915,0.999962,3.84186e-05,https://www.xiaohongshu.com/explore/667133da000000001c02bdc7,美团
天杀美团数杀熟神券元贵美团数杀熟神券元元贵平转饿饿太差劲外卖饿真想美团卸想美团点外卖晦气死美团美,0,0.998574,0.999358,0.000641676,https://www.xiaohongshu.com/explore/6670889b000000001c028024,美团
终识嫖党美团食安法退款店全女性员工短头发想知差评醒醒嫖党现前商家差评送吃,0,0.999918,0.999963,3.6779e-05,https://www.xiaohongshu.com/explore/666fddaf0000000006004459,美团
美团员现红包天天神券商家前通红包开通时开特点商家参天天神券开属添堵月日选择开通点商家员券想点家发现券咨询美团客服说通红包架现天天神券语开通券应批通券偷偷天天神券说天天神券普员做做强占领市场,0,0.973904,0.988257,0.0117431,https://www.xiaohongshu.com/explore/666a80d5000000001c0202c8,美团
恩格系数高达学生讲点外卖总舍友宜命买官神券包官券包优点门槛费膨胀块块觉花门公众号点饭面浪费太时间凑度消费,0,0.870637,0.941787,0.0582135,https://www.xiaohongshu.com/explore/66693f83000000000d00d790,美团
美团现真贵杀熟户死点优惠券点店适留干饿拜拜,0,0.855421,0.93494,0.0650604,https://www.xiaohongshu.com/explore/6656f67b000000000500765c,美团
美团外卖美团杀熟神券元平转饿美团数杀熟神券元元贵平转饿太差劲美团员真太差劲饿真想美团卸想美团点外卖昨天饿开包年员晦气死美团美团员真太差劲饿真想美团卸,0,0.999866,0.99994,6.01684e-05,https://www.xiaohongshu.com/explore/664f3b27000000000c0194c9,美团
骂骂美团天价格真试试,0,0.984406,0.992983,0.00701719,https://www.xiaohongshu.com/explore/6635aa06000000001e0381fa,美团
美团领导pua怼回事说情商低想委屈工接受道理压榨pua说反驳长结节,0,0.74506,0.885277,0.114723,https://www.xiaohongshu.com/explore/6670f647000000001c02350d,美团
杀熟免费卷花钱买膨胀块钱膨胀疯差太代劝紧膨胀块杀熟免费卷花钱买膨胀块钱膨胀疯差太代劝紧膨胀块,0,0.999434,0.999745,0.00025457,https://www.xiaohongshu.com/explore/6667fef00000000006005b69,美团
美团优惠搞券越越贵膨胀越越低美团杀熟美团爱爱试试,0,0.836349,0.926357,0.0736431,https://www.xiaohongshu.com/explore/66508108000000001303ce35,美团
买神员红包付款时发现通红包天天神券商家专红包红书搜美团升级请问升级升级割韭菜技红包价格宜买喝奶茶时省包费外卖费现搞操作递美团信号古茗霸王茶姬萃茶师蜜雪冰城天天神券锁店品牌奶茶店美团干,0,0.474515,0.763532,0.236468,https://www.xiaohongshu.com/explore/666f389e000000000e031c5b,美团
世界骗局美团外卖赚钱玩法领先时代说年电商行业动荡年话点年开头拼超越里京东甩十条街跃电商刘强东夜发文京东生死缘拼干掉京东改变电商界偷偷猥琐发育想电商佬分天美团创始王兴提王兴印象美团外卖团购万外卖骑手根王兴野心发现现电商行业秒杀实体济Bug商品交付时间太长客户想买东西手少天时间商家搞预售件商品客户手差月时间加客户收货主动确认收货店家成交钱少天天账期间承受客户时退货风险抓住Bug招缩短交易交付期家万骑手军成递员客户想买东西天天分钟送手前天朋友家孩闹吃火炬雪糕朋友区门口家利店买网少天送孩子吃唧唧开美团分钟骑手货送家解燃眉急体验感拉想模式真王兴进军电商行业里京东拼慌王心想止电商平台餐饮行业众周知美团主送外面赚商家家王兴野心勃勃利家统计客户数搞原材料供应商生意招搞全平台餐饮材料供应成全网预制裁生产商花钱开餐厅做门店投资吃美团提供食品免费合作餐饮企业帮赚钱套模式走通摇身变培训平台餐饮板做赋培训赚盆钵采模式马云马化追捧SBC模式套模式王兴行业巨头麦劳利店汉庭酒店百果园喜家德太酸菜鱼,0,0.999115,0.999602,0.000398207,https://www.xiaohongshu.com/explore/666938a9000000000e032d8f,美团
